red_significant_strikes_landed_per_minute,red_significant_striking_accuracy,red_significant_strikes_absorbed_per_minute,red_significant_strike_defence,red_average_takedowns_landed_per_15_minutes,red_takedown_accuracy,red_takedown_defense,red_average_submissions_attempted_per_15_minutes,blue_significant_strikes_landed_per_minute,blue_significant_striking_accuracy,blue_significant_strikes_absorbed_per_minute,blue_significant_strike_defence,blue_average_takedowns_landed_per_15_minutes,blue_takedown_accuracy,blue_takedown_defense,blue_average_submissions_attempted_per_15_minutes,outcome
2.99287410926366,49.6621621621622,2.25992534781133,57.9545454545455,1.83237190363081,54.5454545454545,67.6470588235294,1.83237190363081,7.29166666666667,66.0377358490566,0.416666666666667,71.4285714285714,3.125,100.0,0,0.0,1
3.29929802169751,44.7619047619048,3.49712827058073,53.1223267750214,2.01021059349075,37.5,34.4827586206897,1.531589023612,5.53001876172608,48.2800982800983,4.74202626641651,44.2668136714443,0.140712945590994,22.2222222222222,49.5726495726496,0.281425891181989,1
1.66975881261596,32.967032967033,1.89239332096475,43.3333333333333,0.834879406307978,25.0,50.0,2.50463821892393,3.68770764119601,38.5416666666667,4.52491694352159,45.1690821256039,1.19601328903655,23.5294117647059,66.6666666666667,0.0,1
3.41661824520628,52.1276595744681,1.81289947704823,62.8571428571429,1.56885531667635,23.0769230769231,0.0,3.66066240557815,2.97747306562194,38.0,3.70225269343781,47.2067039106145,2.35063663075416,53.3333333333333,60.0,0.587659157688541,1
7.22063037249284,44.8398576512456,5.84527220630373,52.8868360277136,0.0,0,70.0,0.0,3.11688311688312,45.8015267175573,3.06493506493506,42.7184466019417,0.779220779220779,33.3333333333333,33.3333333333333,0.0,0
4.57777777777778,51.1166253101737,4.17777777777778,59.041394335512,6.0,54.5454545454545,37.5,0.0,6.01851851851852,53.6303630363036,5.87037037037037,58.2894736842105,3.88888888888889,63.6363636363636,66.6666666666667,0.277777777777778,0
2.66749637004771,44.5599445599446,3.58017008919311,45.4832596336071,0.933416303671437,30.0,68.0,0.373366521468575,4.44047193421523,50.7975460122699,4.12942438326779,51.9350811485643,0.804433321415803,50.0,81.0344827586207,0.321773328566321,1
4.86698990957935,49.1269841269841,3.75049141659022,53.554040895813,0.353819944961342,30.0,71.4285714285714,0.117939981653781,3.63511187607573,44.8407643312102,2.61273666092943,46.5116279069767,2.16867469879518,34.1463414634146,64.2857142857143,0.309810671256454,0
3.97790055248619,49.2307692307692,4.98273480662984,43.5446009389671,0.0,0.0,54.5454545454545,0.0,3.5470710491879,48.4237074401009,3.34847201909014,55.5759803921569,1.38557462858902,33.8983050847458,79.4117647058823,0.0692787314294512,0
5.91638180383907,57.9598145285935,5.01709176965553,53.5766423357664,0.0,0,73.0769230769231,0.236655272153563,3.17718940936864,65.0,0.488798370672098,77.7777777777778,3.66598778004073,40.0,0,3.66598778004073,0
3.55602761550717,49.8659517426273,1.89272437599575,59.6467391304348,5.92671269251195,53.448275862069,33.3333333333333,0.0,3.12542837559973,66.3755458515284,0.452364633310487,48.8372093023256,4.93488690884167,55.1724137931034,100.0,2.46744345442084,1
5.63204005006258,50.7692307692308,4.40664466947321,54.0078375489847,1.43361019456138,36.8421052631579,62.3188405797101,1.02400728182956,5.53092182030338,52.549889135255,5.20420070011669,44.9382716049383,4.55075845974329,36.1111111111111,66.6666666666667,1.4002333722287,1
3.36437565582371,48.5795454545455,3.34076600209864,54.6958377801494,1.94779643231899,35.8695652173913,47.8260869565217,0.531217208814271,7.19611021069692,55.3271028037383,5.032414910859,67.906976744186,0.364667747163695,50.0,84.0,0.364667747163695,0
4.62756052141527,43.4061135371179,3.28677839851024,48.0882352941176,4.74860335195531,58.6206896551724,77.4193548387097,0.0,3.58762886597938,46.2765957446809,3.7319587628866,44.9848024316109,1.54639175257732,35.7142857142857,100.0,0.0,0
6.93335916311507,51.1358765537934,4.72491282448663,51.9219396806623,1.56915924060442,54.5454545454545,59.375,0.348702053467648,4.1501976284585,31.5492957746479,4.42440711462451,53.1397174254317,0.66699604743083,22.2222222222222,45.0,0.66699604743083,1
4.59359787579289,34.5194546059195,4.40772975365098,63.2878732030962,0.265525888774155,15.3846153846154,54.1666666666667,0.331907360967694,4.20376712328767,50.1020408163265,2.61130136986301,57.4022346368715,1.02739726027397,34.7826086956522,38.8888888888889,0.128424657534247,0
2.96987087517934,50.2732240437159,3.17431850789096,60.1889338731444,4.35796269727403,30.6818181818182,90.9090909090909,0.161406025824964,3.51606432306225,47.1428571428571,3.1905028116676,60.7809847198642,2.01256207043967,35.6020942408377,56.8493150684932,0.591930020717551,1
5.0906797035168,53.8538538538539,3.737580823214,58.2452431289641,1.56126793881091,55.0,94.4444444444444,0.567733795931241,5.11657214870825,50.8135168961202,4.17139256458727,61.9977037887486,0.756143667296786,44.4444444444444,48.3870967741936,0.0,1
5.45004500450045,43.6868686868687,6.13861386138614,56.3240473903298,0.472547254725473,19.4444444444444,82.1428571428571,0.54005400540054,5.23645743766122,46.6130884041332,3.36629406706793,61.2759643916914,2.90197764402408,46.875,69.5652173913043,0.580395528804815,0
5.0280435499835,53.4736842105263,4.25602111514352,59.4148183105238,1.7073573078192,52.2727272727273,85.0,0.148465852853844,4.38114343029087,42.8739693757362,3.72517552657974,57.2513812154696,0.631895687061184,58.3333333333333,73.5849056603774,0.180541624874624,1
7.28777097468145,61.1666666666667,3.39566440509681,62.1681415929204,0.446797948039053,42.8571428571429,60.7142857142857,0.446797948039053,4.37459608718642,50.5498981670061,5.15715880383056,51.7957166392092,0.581634451559838,39.2857142857143,70.2702702702703,0.951765466188826,1
